Product Code,Product Name
105115,LAY CUTTER M/C KNIFE (S) (FLAT)
105117,BAND KNIFE
105121,GEAR ON SCREW
105123,PRESS FT LOCK
105125,ROLL PIN BALL
105127,BASE PLATE NUT BOLT 
105128,BUTTOM PLATE 
105130,BUTTOM CUTTING KNIFE 
105131,MOTOR 
105132,UPPER LOWER KNIFE
105134,NEEDLE CLAM SCREW 
105135,FUSING M/C BELT
105136,FUSING M/C ROLLER
105137,SOLENOID VALVE
105138,FUSING M/C COIL
105139,ROLLAX POWDER
105141,AIR CYLENDER
105143,AIR FILTER 
105144,AIR METER 
105146,TEMPERATURE CONTROLLER 
105148,SPEED CONTROLLER 
105149,THERMO START
105150,CONTROLLER (RKC)
105151,AIR CYLENDER PLATE
105152,BACOME FOAM 
105153,OIL SEAL RUBBER 
105154,BELT TRIMING MOTOR 
105155,AIR SWITCH
105156,NECK PRASS HITTER
105157,WATER FILTER 
105162,GASS FILTER
105163,COOLANT DC A4
105165,LUBE FILTER
105170,COMPRESSOR OIL PIPE
105171,TIMER SOLENOID VALVE
105173,"NON RETURN VALVE 1/2"""
105174,"NON RETURN VALVE 1"""
105175,"NON RETURN VALVE 1.5"""
105176,"SAFETY VALVE 1"""
105177,STEAM LIMIT SWITCH
105180,CONNECTOR 12 PIN
105183,ELBOW
105184,HEATER COIL 7 W
105186,UNION
105188,TRANSFORMER METER
105191,ANLY TIMER
105196,GAUGE GLASS
105197,BELCO M/C FOAM
105199,ARM HOLE GUIDE 1/4
105200,ARM HOLE GUIDE P
105201,ARM HOLE GUIDE 3/8
105202,BOBBIN CASE  
105203,BOBBIN  
105204,CUTTING KNIFE 
105206,CUTTING BELT
105207,CUTTING CLAM
105208,GATHERING GUIDE/SHARING 
105209,HEMMING GUIDE 
105210,MAGNET GUIDE
105211,MOVING GUIDE
105213,PIPING GUIDE
105214,SP GUIDE 
105215,STAR GAUGE  
105216,T-GUIDE
105217,T-GUIDE SCROW
105218,ZIPPER GUIDE (L/R)
105219,ZIPPER GUIDE (2 SIDE)
105220,HEMMING FOLDER 
105221,HOLE KNIFE
105222,ROTARY HOOK 
105223,ROTARY HOOK  (AUTO)
105224,ROTARY HOOK (MANUAL)
105225,SATTALE HOOK
105226,ROTARY HOOK (AUTO)
105227,ROTARY HOOK (MANUAL)
105229,BALL VALVE 
105230,FIRE ALARM OPTICAL DETECTOR 
105231,FIRE ALARM RESETTABLE CALL POINT
105232,FIRE ALARM INPUT MODULE PLATE MOUNT
105233,FIRE ALARM OUTPUT MODULE PLATE MOUNT
105234,FIRE ALARM INTELLIGENT THERMAL DETECTOR 
105235,FIRE ALARM INTELLIGENT MULTICRITERIA DETECTOR
105236,FIRE ALARM CONVENTIONAL WALL SOUNDER
105237,FIRE ALARM CONVENTIONAL WALL SOUNDER/BEACON
105238,FIRE ALARM ALTAIR DETECTOR BASE
105239,FIRE ALARM PROTOCOL KIT
105240,FIRE ALARM PSU
105241,STEAM TRAP
105245,MS NET
105257,LH SQUARE SHAF
105267,UPVC ELBOW
105268,UPVC SOCKET
105269,UPVC TEE
105272,PVC CLAM
105273,I LUG 
105274,O LUG
105275,Y LUG
105278,ON OFF SWITCH FOR IRON
